Country,AVG_Income,Avg_car_age,GDP_PPS,R_Mortality,Educ_H,Year
Austria,26300,8.3,39500,4.9,31.1,2019
Belgium,23606,9.1,36900,5.8,36,2019
Denmark,25006,8.8,39900,3.7,33.4,2019
Finland,22965,12.2,34200,3.9,38.5,2019
France,23841,10.2,33200,5.1,33.8,2019
Germany,25188,9.6,37900,3.8,26,2019
Greece,11196,16,20700,8.3,27.8,2019
Iceland,29570,10.2,39600,2,37.7,2019
Ireland,22994,8.4,59500,3.1,40.7,2019
Italy,19452,11.4,30200,5.3,17.4,2019
Luxembourg,34127,6.5,79600,4.1,41,2019
Netherlands,24431,11,40100,4,34.8,2019
Norway,29008,10.7,45400,2.1,37.7,2019
Poland,13960,14.1,22700,9.4,28.2,2019
Portugal,13642,12.8,24600,8.2,23.8,2019
Romania,8423,16.5,21700,10.3,16,2019
Spain,18618,12.7,28400,3.9,35.1,2019
Sweden,21996,10,37100,3.1,37.8,2019
Switzerland,31073,8.6,49000,2.2,38.6,2019
Bulgaria,11001,20,16700,9.2,24.7,2019
Croatia,11884,12.6,20800,7.9,22,2019
Czechia,15541,14.8,29200,5.9,21.6,2019
Estonia,15873,16.7,25800,4.5,34.7,2019
Hungary,10548,14.2,22800,7.7,22.5,2019
Latvia,13141,13.9,21700,8.1,31.4,2019
Lithuania,14042,16.9,26200,8.1,37.9,2019
Malta,20879,11,32200,4.1,27,2019
Slovakia,11026,13.9,21800,6.1,23.1,2019
Slovenia,18016,10.1,27700,5.1,29.3,2019
Austria,25627,8.2,38600,4.8,30.1,2018
Belgium,22614,8.9,35600,5.4,36,2018
Denmark,24274,8.4,39000,3.2,32.6,2018
Finland,22371,11.8,33600,4.5,37.3,2018
France,23159,8.8,31500,5.2,32.8,2018
Germany,25037,9.3,37500,4.1,25.2,2018
Greece,10639,15,20100,8.3,27.7,2018
Iceland,25945,10,38800,7,36.5,2018
Ireland,22359,8.8,57400,3,40.5,2018
Italy,19061,10.8,29500,5.6,17.1,2018
Luxembourg,32015,6.3,79200,6.7,38.3,2018
Netherlands,24088,10.4,39200,4.1,33,2018
Norway,28138,10.6,47300,2.1,37.5,2018
Poland,12926,13.6,21400,9.2,27.2,2018
Portugal,12785,12.5,23700,9,22.5,2018
Romania,7311,16.2,19900,10.2,15.5,2018
Spain,18365,11.9,27600,4.1,34,2018
Sweden,22167,9.9,36300,3.6,37.1,2018
Switzerland,30980,8.6,48600,2.8,37.7,2018
Austria,26076,8.9,37200,4.9,29.7,2017
Belgium,22436,7.7,34600,5.5,35.6,2017
Denmark,23387,8.5,38000,3.3,32.2,2017
Finland,22061,12.7,32700,4.4,36.4,2017
France,23461,9,30500,5.5,31.4,2017
Germany,24092,8.9,36400,4,24.8,2017
Greece,10473,13.5,19600,8.6,27.2,2017
Iceland,24533,10.1,38200,5.5,35.3,2017
Ireland,21481,9,53400,3.4,40.4,2017
Italy,18691,10.7,28800,5.7,16.5,2017
Luxembourg,33492,6.2,78900,4.8,34.1,2017
Netherlands,23709,9.5,37800,3.7,32.1,2017
Norway,28678,10.65,44000,2.1,36.8,2017
Poland,12745,17.2,20400,9.1,26.3,2017
Portugal,12964,12.6,22700,8,21.7,2017
Romania,5928,15.3,18600,10.6,15.3,2017
Spain,17919,11.4,27200,4.2,33.2,2017
Sweden,22263,9.6,35700,2.7,36,2017
Switzerland,31274,8.6,47500,2.8,36.8,2017
Austria,25368,8.467,36600,5.2,28.9,2016
Belgium,23204,8.567,33700,5.8,33.2,2016
Denmark,23943,8.567,36100,4,31.1,2016
Finland,22304,12.233,31200,4.7,35.9,2016
France,24005,9.333,29800,5.5,30.9,2016
Germany,23880,9.267,35100,4,24.4,2016
Greece,10474,14.833,19100,9.7,26.4,2016
Iceland,24722,10.1,37100,6.6,33.4,2016
Ireland,20880,8.733,49700,4.1,39.5,2016
Italy,18275,10.967,28000,5.5,15.7,2016
Luxembourg,31905,6.333,78400,6.2,36.4,2016
Netherlands,23656,10.3,36300,3.8,31,2016
Norway,30002,10.65,40900,2.7,36.8,2016
Poland,12327,14.967,19400,9.7,25.2,2016
Portugal,12994,12.633,21900,7.4,21.5,2016
Romania,5302,16,16800,10.3,15.1,2016
Spain,17771,12,25900,4.1,32.7,2016
Sweden,22787,9.833,35000,3.1,35.3,2016
Switzerland,31889,8.6,47300,2.7,35.4,2016
Austria,24531,8.522,35900,5.7,28.1,2015
Belgium,21779,8.389,33200,6.7,32.7,2015
Denmark,22651,8.489,35300,3.5,30.2,2015
Finland,21455,12.244,30500,5.1,35.5,2015
France,23212,9.044,29400,5.5,30.5,2015
Germany,23132,9.156,34200,4.4,23.8,2015
Greece,10173,14.444,19200,9.3,25.4,2015
Iceland,23323,10.067,35400,4.8,31.7,2015
Ireland,20217,8.844,49700,3.6,39,2015
Italy,17380,10.822,26700,5.9,15.5,2015
Luxembourg,32969,6.278,77600,6.5,35.2,2015
Netherlands,21785,10.067,36200,3.8,30.5,2015
Norway,30395,10.633,43400,2.6,36.7,2015
Poland,11450,15.256,19100,9.3,24.4,2015
Portugal,12226,12.578,21300,8.3,20.7,2015
Romania,5036,15.833,15500,10,15,2015
Spain,16691,11.767,25100,4.2,32.1,2015
Sweden,21676,9.778,35300,3.2,34,2015
Switzerland,30512,8.6,47500,3.1,34.2,2015
Austria,24340,6.81,35000,5.1,27.4,2014
Belgium,21152,6.14,32200,6.7,32.6,2014
Denmark,22316,8.92,34300,3.5,29.4,2014
Finland,21221,9.69,29900,4.4,34.7,2014
France,22444,8.02,28800,5.4,29.8,2014
Germany,21914,6.87,33700,4.3,23.2,2014
Greece,10033,7.23,19100,9.3,24.6,2014
Iceland,21947,10.089,33000,1.8,30.2,2014
Ireland,19361,6.25,36700,4.3,38,2014
Italy,17340,7.54,26100,5.8,15,2014
Luxembourg,31759,5.55,75200,6.5,39.6,2014
Netherlands,20873,9.23,35300,3.5,29.7,2014
Norway,29891,10.644,47200,3,36.1,2014
Poland,11057,5.75,18000,10.4,23.8,2014
Portugal,12128,8.77,20600,8.5,19.7,2014
Romania,4555,7.72,14800,10,14.2,2014
Spain,16480,9.86,24000,4.2,31.7,2014
Sweden,21129,6.71,33800,3.2,32.8,2014
Switzerland,30024,8.6,45900,3.1,32.9,2014
Bulgaria,7977,8,12600,9.4,23.6,2014
Bulgaria,8454,9,13200,10.1,24.1,2015
Bulgaria,8248,14,13900,10.2,24.4,2016
Bulgaria,9648,14.7,14700,9.9,24.5,2017
Bulgaria,9338,15.5,15600,8.9,24.8,2018
Croatia,8589,11.2,16000,8.2,18.5,2014
Croatia,9186,11.2,16700,9.3,19.7,2015
Croatia,9944,11.3,17500,8.1,20,2016
Croatia,10418,14.1,18600,8.7,20.6,2017
Croatia,10926,8.9,19600,8.4,22,2018
Czechia,12513,8.6,23300,6.7,19.1,2014
Czechia,13100,10.6,24400,7.2,19.8,2015
Czechia,14023,12.6,25100,5.9,20.6,2016
Czechia,14167,14.5,26700,5.6,21.4,2017
Czechia,14737,14.3,27900,6.3,21.7,2018
Estonia,11287,11,20700,6.1,32.6,2014
Estonia,12536,12.6,21000,6.4,32,2015
