DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2000,4097000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2001,4182000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2002,3987000,b
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2003,4054000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2004,4109000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2005,4157000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2006,4205000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2007,4246000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2008,4285000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2009,4360000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2010,4441000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2011,4513000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2012,4584000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2013,4641308,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2014,4694921,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2015,4748048,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2016,4821557,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2017,4898578,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2018,4978852,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2019,5039548,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,AT,2020,5091827,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2000,4678000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2001,4740000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2002,4787000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2003,4821000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2004,4874000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2005,4919000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2006,4976000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2007,5049000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2008,5131000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2009,5193000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2010,5276000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2011,5407000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2012,5444000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2013,5493472,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2014,5555499,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2015,5623579,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2016,5712061,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2017,5785447,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2018,5853782,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2019,5889210,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,BE,2020,5888589,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2000,3545000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2001,3630000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2002,3701000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2003,3754000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2004,3811000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2005,3864000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2006,3900000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2007,3956000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2008,3990000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2009,4010000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2010,4076000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2011,4163000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2012,4255000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2013,4321000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2014,4384000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2015,4458000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2016,4524000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2017,4570800,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2018,4602700,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2019,4624000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,CH,2020,4658400,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2000,43772000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2001,44383000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2002,44657000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2003,45023000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2004,45376000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2005,46090000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2006,46570000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2007,,c
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2008,41321000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2009,41738000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,TOTAL,DE,2010,42302000,
