DATAFLOW,LAST UPDATE,freq,unit,frequenc,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,AT,2014,6.2,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,AT,2019,5.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,BE,2014,14.2,u
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,BE,2019,9.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,BG,2014,8.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,BG,2019,10.2,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,CY,2014,4.2,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,CY,2019,4.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,CZ,2014,9.5,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,CZ,2019,7.8,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DE,2014,9.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DE,2019,7.5,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DK,2014,11.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DK,2019,9.6,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EE,2014,2.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EE,2019,1.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EL,2014,6.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EL,2019,5.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,ES,2014,15.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,ES,2019,13.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EU27_2020,2014,9.5,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EU27_2020,2019,8.4,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EU28,2014,9.2,e
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,FI,2014,2.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,FR,2019,9.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,HR,2014,9.1,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,HR,2019,10.2,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,HU,2014,7.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,HU,2019,6.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IE,2014,2.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IE,2019,2.4,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IS,2014,0.6,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IS,2019,1.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IT,2014,14.1,d
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IT,2019,12.1,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,LT,2014,0.6,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,LT,2019,0.8,
