DATAFLOW,LAST UPDATE,freq,unit,frequenc,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,AT,2014,3.0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,BE,2014,7.2,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,BG,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,CY,2014,2.6,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,CZ,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,DE,2014,8.0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,DK,2014,2.9,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,EE,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,EL,2014,5.9,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,ES,2014,8.3,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,EU27_2020,2014,6.3,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,EU28,2014,5.2,e
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,FI,2014,1.9,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,HR,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,HU,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,IE,2014,1.3,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,IS,2014,1.8,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,IT,2014,6.6,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,LT,2014,0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,LU,2014,5.4,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,LV,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,MT,2014,20.6,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,NO,2014,0.8,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,PL,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,PT,2014,9.7,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,RO,2014,0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,SE,2014,0.9,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,SI,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,SK,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,TR,2014,0,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,EU28_FOR,UK,2014,1.1,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,AT,2014,2.3,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,BE,2014,7.8,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,BG,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,CY,2014,2.2,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,CZ,2014,6.5,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,DE,2014,6.1,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,DK,2014,3.7,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,EE,2014,0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,EL,2014,3.7,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,ES,2014,5.3,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,EU27_2020,2014,4.8,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,EU28,2014,4.3,e
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,FI,2014,3.6,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,HR,2014,3.4,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,HU,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,IE,2014,1.2,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,IS,2014,1.4,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,IT,2014,4.9,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,LT,2014,0,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,LU,2014,5.3,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,LV,2014,0.7,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,MT,2014,13.5,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,NO,2014,0.5,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,PL,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,PT,2014,8.2,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,RO,2014,0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,SE,2014,1.4,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,SI,2014,0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,SK,2014,,u
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,TR,2014,0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,FOR,UK,2014,1.6,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,AT,2014,2.7,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,BE,2014,9.9,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,BG,2014,3.6,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,CY,2014,0.7,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,CZ,2014,3.2,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,DE,2014,5.3,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,DK,2014,8.0,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,EE,2014,0.2,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,EL,2014,2.5,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,ES,2014,7.5,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,EU27_2020,2014,4.9,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,EU28,2014,5.0,e
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,FI,2014,1.4,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,HR,2014,3.8,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,HU,2014,2.6,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,IE,2014,1.2,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,IS,2014,0.2,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,IT,2014,8.6,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,LT,2014,0.1,
ESTAT:HLTH_EHIS_AL1C(1.0),21/03/19 23:00:00,A,PC,DAY,F,TOTAL,NAT,LU,2014,5.7,
