DATAFLOW,LAST UPDATE,freq,unit,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,AT,2014,0.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,AT,2014,0.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,AT,2014,0.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,AT,2014,0.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,AT,2014,1.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,AT,2014,1.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,AT,2014,1.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,AT,2014,0.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,AT,2014,0.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,AT,2014,0.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,AT,2014,1.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,AT,2014,0.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,BE,2014,1.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,BE,2014,5.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,BE,2014,3.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,BE,2014,4.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,BE,2014,4.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,BE,2014,4.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,BE,2014,4.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,BE,2014,3.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,BE,2014,3.9,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,BE,2014,3.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,BE,2014,4.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,BE,2014,4.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,BG,2014,0.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,BG,2014,3.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,BG,2014,1.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,BG,2014,1.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,BG,2014,2.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,BG,2014,2.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,BG,2014,0.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,BG,2014,0.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,BG,2014,0.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,BG,2014,0.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,BG,2014,2.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,BG,2014,1.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,CY,2014,0.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,CY,2014,1.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,CY,2014,0.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,CY,2014,0.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,CY,2014,1.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,CY,2014,0.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,CY,2014,0.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,CY,2014,0.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,CY,2014,0.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,CY,2014,0.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,CY,2014,0.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,CY,2014,0.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,CZ,2014,1.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,CZ,2014,0.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,CZ,2014,1.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,CZ,2014,1.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,CZ,2014,4.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,CZ,2014,2.6,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,CZ,2014,2.2,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,CZ,2014,2.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,T,TOTAL,CZ,2014,2.1,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,F,TOTAL,CZ,2014,1.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,M,TOTAL,CZ,2014,3.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,TOTAL,T,TOTAL,CZ,2014,2.3,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,F,TOTAL,DE,2014,2.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,M,TOTAL,DE,2014,5.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED0-2,T,TOTAL,DE,2014,3.8,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,F,TOTAL,DE,2014,4.4,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,M,TOTAL,DE,2014,5.0,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED3_4,T,TOTAL,DE,2014,4.7,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,F,TOTAL,DE,2014,5.5,
ESTAT:HLTH_EHIS_AL2E(1.0),21/03/19 23:00:00,A,PC,ED5-8,M,TOTAL,DE,2014,4.5,
