DATAFLOW,LAST UPDATE,freq,unit,quant_inc,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,AT,2014,0.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,BE,2014,3.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,BG,2014,1.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,CY,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,CZ,2014,0.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,DE,2014,3.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,DK,2014,8.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,EE,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,EL,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,ES,2014,0.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,EU27_2020,2014,1.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,EU28,2014,2.6,e
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,FI,2014,6.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,HR,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,HU,2014,1.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,IE,2014,6.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,IS,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,IT,2014,2.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,LT,2014,1.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,LU,2014,3.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,LV,2014,1.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,MT,2014,1.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,NO,2014,2.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,PL,2014,0.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,PT,2014,1.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,RO,2014,1.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,SE,2014,2.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,SI,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,SK,2014,0.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,TR,2014,0.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,TOTAL,UK,2014,8.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,AT,2014,2.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,BE,2014,1.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,BG,2014,1.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,CY,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,CZ,2014,1.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,DE,2014,4.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,DK,2014,6.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,EE,2014,1.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,EL,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,ES,2014,0.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,EU27_2020,2014,2.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,EU28,2014,2.7,e
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,FI,2014,9.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,HR,2014,0,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,HU,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,IE,2014,10.3,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,IS,2014,2.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,IT,2014,0.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,LT,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,LU,2014,9.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,LV,2014,4.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,MT,2014,,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,NO,2014,2.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,PL,2014,1.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,PT,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,RO,2014,0.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,SE,2014,2.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,SI,2014,4.5,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,SK,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,TR,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-24,UK,2014,8.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,AT,2014,2.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,BE,2014,2.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,BG,2014,0.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,CY,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,CZ,2014,1.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,DE,2014,4.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,DK,2014,4.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,EE,2014,1.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,EL,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,ES,2014,0.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,EU27_2020,2014,1.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,EU28,2014,2.8,e
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,FI,2014,8.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,HR,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,HU,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,IE,2014,9.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,IS,2014,1.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,IT,2014,0.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,LT,2014,1.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,LU,2014,6.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,LV,2014,3.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-29,MT,2014,0,u
