DATAFLOW,LAST UPDATE,freq,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,AT,2014,1.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,BE,2014,3.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,BG,2014,1.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,CY,2014,0.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,CZ,2014,1.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,DE,2014,5.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,DK,2014,9.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,EE,2014,0.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,EL,2014,0.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,ES,2014,1.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,EU27_2020,2014,2.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,EU28,2014,4.0,e
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,FI,2014,6.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,HU,2014,1.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,IE,2014,8.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,IS,2014,1.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,IT,2014,4.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,LT,2014,1.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,LU,2014,5.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,LV,2014,1.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,MT,2014,2.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,NO,2014,3.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,PL,2014,2.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,PT,2014,1.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,RO,2014,0.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,SE,2014,3.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,SI,2014,0.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,SK,2014,0.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,TOTAL,PC,UK,2014,12.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,AT,2014,2.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,BE,2014,0.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,BG,2014,0.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,CY,2014,0.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,CZ,2014,2.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,DE,2014,5.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,DK,2014,6.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,EE,2014,1.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,EL,2014,2.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,ES,2014,0.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,EU27_2020,2014,2.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,EU28,2014,3.0,e
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,FI,2014,5.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,HU,2014,1.7,
