DATAFLOW,LAST UPDATE,freq,frequenc,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,AT,2014,1.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,BE,2014,4.3,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,BG,2014,0.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,CY,2014,0.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,CZ,2014,0.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,DE,2014,6.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,DK,2014,6.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,EE,2014,0.4,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,EL,2014,0.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,ES,2014,1.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,EU27_2020,2014,2.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,EU28,2014,2.8,e
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,FI,2014,5.5,
