Country,Educ_H_2010,Educ_H_2011,Educ_H_2012,Educ_H_2013,Educ_H_2014,Educ_H_2015,Educ_H_2016,Educ_H_2017,Educ_H_2018,Educ_H_2019,R_Mortality_2010,R_Mortality_2011,R_Mortality_2012,R_Mortality_2013,R_Mortality_2014,R_Mortality_2015,R_Mortality_2016,R_Mortality_2017,R_Mortality_2018,R_Mortality_2019,AVG_Income_2010,AVG_Income_2011,AVG_Income_2012,AVG_Income_2013,AVG_Income_2014,AVG_Income_2015,AVG_Income_2016,AVG_Income_2017,AVG_Income_2018,AVG_Income_2019,Alcohol_Consumption_2014,Alcohol_Consumption_2019,Avg_car_age_2019,Happy_Index_2016,Happy_Index_2017,Happy_Index_2018,Happy_Index_2019,BAC_limit,Age_to_drive,Road_length_1990,Road_length_2019,Number_accidents_2000,Number_accidents_2001,Number_accidents_2002,Number_accidents_2003,Number_accidents_2004,Number_accidents_2005,Number_accidents_2006,Number_accidents_2007,Number_accidents_2008,Number_accidents_2009,Number_accidents_2010,Number_accidents_2011,Number_accidents_2012,Number_accidents_2013,Number_accidents_2014,Number_accidents_2015,Number_accidents_2016,Number_accidents_2017,Number_accidents_2018,Number_accidents_2019,Urban_speed_limits_2009,Urban_speed_limits_2019,Motorway_speed_limits_2009,Motorway_speed_limits_2019,GDP_PPS_2010,GDP_PPS_2011,GDP_PPS_2012,GDP_PPS_2013,GDP_PPS_2014,GDP_PPS_2015,GDP_PPS_2016,GDP_PPS_2017,GDP_PPS_2018,GDP_PPS_2019
Austria,16.2,16.3,16.9,17.7,27.4,28.1,28.9,29.7,30.1,31.1,6.8,6.4,6.4,5.5,5.1,5.7,5.2,4.9,4.8,4.9,"21,849","22,765","23,073","23,075","24,340","24,531","25,368","26,076","25,627","26,300",6.2,5.7,8.3,12,13,12,10,0.5,18,1445.0,1743.0,42126,43073,43175,43423,42657,40896,39884,41096,39173,37925,35348,35129,40831,38502,37957,37960,38466,37402,36846,35736,50,50,130,130,128,129,133,133,132,131,130,127,128,126
Belgium,30.7,30.4,31.3,31.5,32.6,32.7,33.2,35.6,36.0,36.0,8.1,8.2,7.2,7,6.7,6.7,5.8,5.5,5.4,5.8,"19,034","19,615","19,866","21,189","21,152","21,779","23,204","22,436","22,614","23,606",14.2,9.7,9.1,18,17,16,18,0.5,18,1666.0,1763.0,49065,47444,47444,50479,48670,49307,49171,43239,42115,41944,46603,89880,51067,42133,42447,41259,41154,40599,41850,42122,50,50,120,120,121,119,121,121,121,121,120,118,118,118
Denmark,27.3,27.8,28.5,28.9,29.4,30.2,31.1,32.2,32.6,33.4,5,4.1,3.1,3.5,3.5,3.5,4,3.3,3.2,3.7,"18,819","20,898","21,001","21,642","22,316","22,651","23,943","23,387","24,274","25,006",11.3,9.6,8.8,1,2,3,2,0.5,18,611.0,1346.0,7346,6856,7121,6749,6209,5413,5403,5549,5020,4174,3498,3525,3124,2984,2881,2853,2882,2789,2964,2808,50,50,130,130,131,129,128,130,129,128,128,130,129,127
Finland,31.6,32.5,32.8,33.6,34.7,35.5,35.9,36.4,37.3,38.5,5.2,5.6,4.9,4.9,4.4,5.1,4.7,4.4,4.5,3.9,"18,968","19,842","20,580","21,344","21,221","21,455","22,304","22,061","22,371","22,965",2.7,NaN,12.2,5,5,1,1,0.2,18,225.0,926.0,6633,6451,6196,6907,6767,7020,6740,6657,6881,6414,6072,6408,5725,5334,5299,5185,4752,4432,4312,4002,50,50,120,120,118,119,117,115,113,111,111,111,111,109
France,26.2,26.7,27.7,28.9,29.8,30.5,30.9,31.4,32.8,33.8,6.5,6.5,5.9,5.3,5.4,5.5,5.5,5.5,5.2,5.1,"20,870","21,710","22,348","22,689","22,444","23,212","24,005","23,461","23,159","23,841",NaN,9.9,10.2,32,31,23,24,0.5,18,6824.0,11671.0,121223,116745,105470,90220,85390,84525,80309,81272,74487,72315,67288,65024,60437,56812,58191,56600,57515,58609,108476,109051,50,50,130,130,109,109,108,110,108,107,106,104,104,106
Germany,22.7,24.3,24.9,25.2,23.2,23.8,24.4,24.8,25.2,26.0,4.8,5.3,4.7,4.4,4.3,4.4,4,4,4.1,3.8,"20,069","20,816","21,585","22,304","21,914","23,132","23,880","24,092","25,037","25,188",9.3,7.5,9.6,16,16,15,17,0.5,18,10854.0,13183.0,382949,375345,362054,354534,339308,336618,327984,335845,320614,310667,288297,306266,299637,291105,302435,305659,308145,302656,308721,300143,50,50,130,130,121,124,124,125,127,124,125,124,124,121
Greece,20.9,22.2,22.9,24.0,24.6,25.4,26.4,27.2,27.7,27.8,13.1,12.3,11.3,10.3,9.3,9.3,9.7,8.6,8.3,8.3,"14,697","13,336","11,243","10,066","10,033","10,173","10,474","10,473","10,639","11,196",6.9,5.9,16.0,99,87,79,82,0.5,18,190.0,2098.0,23001,19671,16809,15751,15547,16914,16190,15499,15083,14789,15032,13849,12398,12109,11690,11440,11318,10848,10737,10712,50,50,130,130,85,75,71,72,72,70,68,67,66,66
Iceland,26.3,27.4,28.5,29.3,30.2,31.7,33.4,35.3,36.5,37.7,2.6,4.3,3.4,4.9,1.8,4.8,6.6,5.5,7,2,"20,601","19,686","20,029","21,363","21,947","23,323","24,722","24,533","25,945",:,0.6,1,10.2,3,3,4,4,0.5,18,11.0,41.0,0,0,0,0,0,0,0,0,0,0,883,849,742,822,808,912,986,952,868,770,50,50,0,0,121,119,120,123,124,129,132,130,128,126
Ireland,33.9,34.4,35.7,37.3,38.0,39.0,39.5,40.4,40.5,40.7,4.8,4.2,3.6,4.2,4.3,3.6,4.1,3.4,3,3.1,"19,670","19,291","19,158","19,711","19,361","20,217","20,880","21,481","22,359","22,994",2,2.4,8.4,19,15,14,16,0.5,17,26.0,995.0,7749,6909,6625,5984,5780,6533,6018,5467,6736,6615,5779,5230,5610,4976,5796,5831,5877,0,0,0,50,50,120,120,131,131,133,133,138,181,176,182,190,190
Italy,13.0,13.2,13.9,14.4,15.0,15.5,15.7,16.5,17.1,17.4,7.3,7.2,6.5,5.8,5.8,5.9,5.5,5.7,5.6,5.3,"17,378","17,928","17,714","17,455","17,340","17,380","18,275","18,691","19,061","19,452",14.1,12.1,11.4,50,48,47,36,0.5,18,6193.0,6966.0,256546,263100,239354,252271,243490,240011,238124,230871,218963,215430,212997,205638,188228,181660,177031,174539,175791,174933,172553,172183,50,50,150,130,106,105,104,101,98,97,99,98,97,96
