Happy_Index_2019,BAC_limit,Age_to_drive,Urban_speed_limits_2019,Motorway_speed_limits_2019,AVG_Income_2019,Avg_car_age_2019,GDP_PPS_2019,Road_length_2019,n_accidents_by_100k,R_Mortality_2019,Educ_H_2019,Alcohol_Consumption_2019
10,0.5,18,50,130,26300.0,8.3,126,1743.0,402.43605798250434,4.9,31.1,5.7
18,0.5,18,50,120,23606.0,9.1,118,1763.0,366.6295876570418,5.8,36.0,9.7
2,0.5,18,50,130,25006.0,8.8,127,1346.0,48.29370829981037,3.7,33.4,9.6
1,0.2,18,50,120,22965.0,12.2,109,926.0,72.47891283804023,3.9,38.5,2.43
24,0.5,18,50,130,23841.0,10.2,106,11671.0,162.16021055860432,5.1,33.8,9.9
17,0.5,18,50,130,25188.0,9.6,121,13183.0,361.2135044602213,3.8,26.0,7.5
82,0.5,18,50,130,11196.0,16.0,66,2098.0,99.91062886055434,8.3,27.8,5.9
4,0.5,18,50,90,29570.0,10.2,126,41.0,213.55491273369705,2.0,37.7,1.0
16,0.5,17,50,120,22994.0,8.4,190,995.0,123.74501959735242,3.1,40.7,2.4
36,0.5,18,50,130,19452.0,11.4,96,6966.0,288.27331195669996,5.3,17.4,12.1
14,0.5,18,50,130,34127.0,6.5,254,165.0,159.19329162372318,4.1,41.0,8.9
5,0.5,18,50,130,24431.0,11.0,128,2790.0,109.80765844710086,4.0,34.8,8.3
3,0.2,18,50,100,29008.0,10.7,145,1008.0,66.94221428389783,2.1,37.7,1.4
40,0.2,18,60,140,13960.0,14.1,73,1676.0,79.77774543845429,9.4,28.2,1.6
66,0.5,18,50,120,13642.0,12.8,79,3065.0,362.1431806672647,8.2,23.8,20.7
48,0.0,18,50,130,8423.0,16.5,69,866.0,160.7813646004718,10.3,16.0,2.9
30,0.5,18,50,120,18618.0,12.7,91,15585.0,220.81332327509693,3.9,35.1,13.0
7,0.2,18,50,110,21996.0,10.0,119,2133.0,133.12725395268964,3.1,37.8,1.8
6,0.5,18,50,120,31073.0,8.6,156,1462.0,207.11860137511545,2.2,38.6,11.1
