Country,Educ_H_2019,AVG_Income_2019,R_Mortality_2019,Alcohol_Consumption_2019,Avg_car_age_2019,Happy_Index_2019,BAC_limit,Age_to_drive,Road_length_2019,Number_accidents_2019,Urban_speed_limits_2019,Motorway_speed_limits_2019,GDP_PPS_2019
Austria,31.1,26300.0,4.9,5.7,8.3,10,0.5,18,1743.0,35736,50,130,126
Belgium,36.0,23606.0,5.8,9.7,9.1,18,0.5,18,1763.0,42122,50,120,118
Denmark,33.4,25006.0,3.7,9.6,8.8,2,0.5,18,1346.0,2808,50,130,127
Finland,38.5,22965.0,3.9,2.43,12.2,1,0.2,18,926.0,4002,50,120,109
France,33.8,23841.0,5.1,9.9,10.2,24,0.5,18,11671.0,109051,50,130,106
Germany,26.0,25188.0,3.8,7.5,9.6,17,0.5,18,13183.0,300143,50,130,121
Greece,27.8,11196.0,8.3,5.9,16.0,82,0.5,18,2098.0,10712,50,130,66
Iceland,37.7,29570.0,2.0,1.0,10.2,4,0.5,18,41.0,770,50,90,126
Ireland,40.7,22994.0,3.1,2.4,8.4,16,0.5,17,995.0,6106,50,120,190
Italy,17.4,19452.0,5.3,12.1,11.4,36,0.5,18,6966.0,172183,50,130,96
Luxembourg,41.0,34127.0,4.1,8.9,6.5,14,0.5,18,165.0,987,50,130,254
Netherlands,34.8,24431.0,4.0,8.3,11.0,5,0.5,18,2790.0,19046,50,130,128
Norway,37.7,29008.0,2.1,1.4,10.7,3,0.2,18,1008.0,3580,50,100,145
Poland,28.2,13960.0,9.4,1.6,14.1,40,0.2,18,1676.0,30288,60,140,73
Portugal,23.8,13642.0,8.2,20.7,12.8,66,0.5,18,3065.0,37251,50,120,79
Romania,16.0,8423.0,10.3,2.9,16.5,48,0.0,18,866.0,31146,50,130,69
Spain,35.1,18618.0,3.9,13.0,12.7,30,0.5,18,15585.0,104080,50,120,91
Sweden,37.8,21996.0,3.1,1.8,10.0,7,0.2,18,2133.0,13684,50,110,119
Switzerland,38.6,31073.0,2.2,11.1,8.6,6,0.5,18,1462.0,17761,50,120,156
