Country;Happy_Index;BAC_limit;Age_to_drive;Urban_speed_limits;Motorway_speed_limits;AVG_Income;Avg_car_age;GDP_PPS;Road_length;n_accidents_by_100k;R_Mortality;Educ_H;Alcohol_Consumption
Austria;10;0.5;18;50;130;26300;8.3;126;1743;402436;4.9;31.1;5.7
Belgium;18;0.5;18;50;120;23606;9.1;118;1763;36663;5.8;36;9.7
Denmark;2;0.5;18;50;130;25006;8.8;127;1346;48294;3.7;33.4;9.6
Finland;1;0.2;18;50;120;22965;12.2;109;926;72479;3.9;38.5;2.43
France;24;0.5;18;50;130;23841;10.2;106;11671;16216;5.1;33.8;9.9
Germany;17;0.5;18;50;130;25188;9.6;121;13183;361214;3.8;26;7.5
Greece;82;0.5;18;50;130;11196;16;66;2098;99911;8.3;27.8;5.9
Iceland;4;0.5;18;50;90;29570;10.2;126;41;213555;2;37.7;1
Ireland;16;0.5;17;50;120;22994;8.4;190;995;123745;3.1;40.7;2.4
Italy;36;0.5;18;50;130;19452;11.4;96;6966;288273;5.3;17.4;12.1
Luxembourg;14;0.5;18;50;130;34127;6.5;254;165;159193;4.1;41;8.9
Netherlands;5;0.5;18;50;130;24431;11;128;2790;109808;4;34.8;8.3
Norway;3;0.2;18;50;100;29008;10.7;145;1008;66942;2.1;37.7;1.4
Poland;40;0.2;18;60;140;13960;14.1;73;1676;79778;9.4;28.2;1.6
Portugal;66;0.5;18;50;120;13642;12.8;79;3065;362143;8.2;23.8;20.7
Romania;48;0;18;50;130;8423;16.5;69;866;160781;10.3;16;2.9
Spain;30;0.5;18;50;120;18618;12.7;91;15585;220813;3.9;35.1;13
Sweden;7;0.2;18;50;110;21996;10;119;2133;133127;3.1;37.8;1.8
Switzerland;6;0.5;18;50;120;31073;8.6;156;1462;207119;2.2;38.6;11.1
Austria;12;0.5;18;50;130;25627;8.2;128;1749;416785;4.8;30.1;5.814
Belgium;16;0.5;18;50;120;22614;8.9;118;1763;366236;5.4;36;9.894
Denmark;3;0.5;18;50;130;24274;8.4;129;1329;5116;3.2;32.6;9.792
Finland;1;0.2;18;50;120;22371;11.8;111;926;78179;4.5;37.3;2.479
France;23;0.5;18;50;130;23159;8.8;104;11671;161659;5.2;32.8;10.098
Germany;15;0.5;18;50;130;25037;9.3;124;13141;372376;4.1;25.2;7.65
Greece;79;0.5;18;50;130;10639;15;66;2098;100038;8.3;27.7;6.018
Iceland;4;0.5;18;50;90;25945;10;128;41;246087;7;36.5;1.02
Ireland;14;0.5;17;50;120;22359;8.8;190;916;124381;3;40.5;2.448
Italy;47;0.5;18;50;130;19061;10.8;97;6943;285581;5.6;17.1;12.342
Luxembourg;17;0.5;18;50;130;32015;6.3;262;165;155769;6.7;38.3;9.078
Netherlands;6;0.5;18;50;130;24088;10.4;129;2756;111829;4.1;33;8.466
Norway;2;0.2;18;50;100;28138;10.6;156;599;73326;2.1;37.5;1.428
Poland;42;0.2;18;60;140;12926;13.6;71;1637;83408;9.2;27.2;1.632
Portugal;77;0.5;18;50;120;12785;12.5;78;3065;348275;9;22.5;21.114
Romania;52;0;18;50;130;7311;16.2;66;823;155089;10.2;15.5;2.958
Spain;36;0.5;18;50;120;18365;11.9;91;15585;218598;4.1;34;13.26
Sweden;9;0.2;18;50;110;22167;9.9;120;2132;139879;3.6;37.1;1.836
Switzerland;5;0.5;18;50;120;30980;8.6;160;1462;211796;2.8;37.7;11.322
Austria;13;0.5;18;50;130;26076;8.9;127;1743;42514;4.9;29.7;5.951
Belgium;17;0.5;18;50;120;22436;7.7;118;1763;356909;5.5;35.6;10.127
Denmark;2;0.5;18;50;130;23387;8.5;130;1308;48378;3.3;32.2;10.022
Finland;5;0.2;18;50;120;22061;12.7;111;893;80462;4.4;36.4;2.537
France;31;0.5;18;50;130;23461;9;104;11618;87583;5.5;31.4;10.336
Germany;16;0.5;18;50;130;24092;8.9;124;13009;366159;4;24.8;7.83
Greece;87;0.5;18;50;130;10473;13.5;67;2133;100868;8.6;27.2;6.16
Iceland;3;0.5;18;50;90;24533;10.1;130;11;277228;5.5;35.3;1.044
Ireland;15;0.5;17;50;120;21481;9;182;916;122541;3.4;40.4;2.506
Italy;48;0.5;18;50;130;18691;10.7;98;6943;28897;5.7;16.5;12.632
Luxembourg;18;0.5;18;50;130;33492;6.2;269;165;160145;4.8;34.1;9.292
Netherlands;6;0.5;18;50;130;23709;9.5;129;2758;109192;3.7;32.1;8.665
Norway;1;0.2;18;50;100;28678;10.65;150;523;77431;2.1;36.8;1.462
Poland;46;0.2;18;60;140;12745;17.2;70;1637;86268;9.1;26.3;1.67
Portugal;89;0.5;18;50;120;12964;12.6;77;3065;334126;8;21.7;21.611
Romania;57;0;18;50;130;5928;15.3;64;763;158796;10.6;15.3;3.028
Spain;34;0.5;18;50;120;17919;11.4;93;15523;219416;4.2;33.2;13.572
Sweden;10;0.2;18;50;110;22263;9.6;122;2132;148652;2.7;36;1.879
Switzerland;4;0.5;18;50;120;31274;8.6;162;1458;210593;2.8;36.8;11.588
Austria;12;0.5;18;50;130;25368;8.467;130;1743;440282;5.2;28.9;6.076
Belgium;18;0.5;18;50;120;23204;8.567;120;1763;363185;5.8;33.2;10.34
Denmark;1;0.5;18;50;130;23943;8.567;128;1255;50314;4;31.1;10.234
Finland;5;0.2;18;50;120;22304;12.233;111;890;86474;4.7;35.9;2.59
France;32;0.5;18;50;130;24005;9.333;106;11612;86198;5.5;30.9;10.553
Germany;16;0.5;18;50;130;23880;9.267;125;12996;374195;4;24.4;7.995
Greece;99;0.5;18;50;130;10474;14.833;68;1843;10503;9.7;26.4;6.289
Iceland;3;0.5;18;50;90;24722;10.1;132;11;293943;6.6;33.4;1.066
Ireland;19;0.5;17;50;120;20880;8.733;176;916;123588;4.1;39.5;2.558
Italy;50;0.5;18;50;130;18275;10.967;99;6943;289953;5.5;15.7;12.899
Luxembourg;20;0.5;18;50;130;31905;6.333;278;161;16168;6.2;36.4;9.487
Netherlands;7;0.5;18;50;130;23656;10.3;129;2758;110092;3.8;31;8.848
Norway;4;0.2;18;50;100;30002;10.65;145;392;80141;2.7;36.8;1.492
Poland;57;0.2;18;60;140;12327;14.967;69;1637;88659;9.7;25.2;1.706
Portugal;94;0.5;18;50;120;12994;12.633;78;3065;31281;7.4;21.5;22.066
Romania;71;0;18;50;130;5302;16;60;747;156078;10.3;15.1;3.091
