Year;Country;Overall
2016;Denmark;1
2016;Switzerland;2
2016;Iceland;3
2016;Norway;4
2016;Finland;5
2016;Netherlands;7
2016;Sweden ;10
2016;Austria;12
2016;Germany;16
2016;Belgium;18
2016;Ireland;19
2016;Luxembourg;20
2016;Czech Republic;27
2016;France;32
2016;Spain;37
2016;Italy;50
2016;Poland;57
2016;Romania;71
2016;Portugal;94
2016;Greece;99
2017;Norway;1
2017;Dernmark;2
2017;Iceland;3
2017;Switzerland;4
2017;Finland;5
2017;Netherlands;6
2017;Sweden ;10
2017;Austria;13
2017;Ireland;15
2017;Germany;16
2017;Belgium;17
2017;Luxembourg;18
2017;Czech Republic;23
2017;France;31
2017;Spain;34
2017;Poland;46
2017;Italy;48
2017;Romania;57
2017;Greece;87
2017;Portugal;89
2018;Finalnd;1
2018;Norway;2
2018;Denmark;3
2018;Iceland;4
2018;Switzerland;5
2018;Netherlands;6
2018;Sweden ;9
2018;Austria;12
2018;Ireland;14
2018;Germany;15
2018;Belgium;16
2018;Luxembourg;17
2018;Czech Republic;21
2018;France;23
2018;Spain;36
2018;Poland;42
2018;Italy;47
2018;Romania;52
2018;Portugal;77
2018;Greece;79
2019;Finalnd;1
2019;Denmark;2
2019;Norway;3
2019;Iceland;4
2019;Netherlands;5
2019;Switzerland;6
2019;Sweden ;7
2019;Austria;10
2019;Luxembourg;14
2019;Ireland;16
2019;Germany;17
2019;Belgium;18
2019;Czech Republic;20
2019;France;24
2019;Spain;30
2019;Italy;36
2019;Poland;40
2019;Romania;48
2019;Portugal;66
2019;Greece;82
