DATAFLOW,LAST UPDATE,freq,unit,frequenc,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,AT,2014,6.2,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,AT,2019,5.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,BE,2014,14.2,u
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,BE,2019,9.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DE,2014,9.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DE,2019,7.5,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DK,2014,11.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,DK,2019,9.6,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EL,2014,6.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,EL,2019,5.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,ES,2014,15.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,ES,2019,13.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,FI,2014,2.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,FR,2019,9.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IE,2014,2.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IE,2019,2.4,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IS,2014,0.6,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IS,2019,1.0,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IT,2014,14.1,d
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,IT,2019,12.1,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,LU,2014,9.6,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,LU,2019,8.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,NL,2019,8.3,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,NO,2014,2.1,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,NO,2019,1.4,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,PL,2014,1.8,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,PL,2019,1.6,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,PT,2014,24.2,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,PT,2019,20.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,RO,2014,3.8,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,RO,2019,2.9,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,SE,2014,2.7,
ESTAT:HLTH_EHIS_AL1E(1.0),01/04/22 23:00:00,A,PC,DAY,TOTAL,T,TOTAL,SE,2019,1.8,
