Country,Happy_Index,BAC_limit,Age_to_drive,Urban_speed_limits,Motorway_speed_limits,AVG_Income,Avg_car_age,GDP_PPS,Road_length,n_accidents_by_100k,R_Mortality,Educ_H,Alcohol_Consumption,Year
Austria,10,0.5,18,50,130,26300,8.3,126,1743,402.4,4.9,31.1,5.7,2019
Belgium,18,0.5,18,50,120,23606,9.1,118,1763,366.6,5.8,36,9.7,2019
Denmark,2,0.5,18,50,130,25006,8.8,127,1346,48.3,3.7,33.4,9.6,2019
Finland,1,0.2,18,50,120,22965,12.2,109,926,72.5,3.9,38.5,2.43,2019
France,24,0.5,18,50,130,23841,10.2,106,11671,162.2,5.1,33.8,9.9,2019
Germany,17,0.5,18,50,130,25188,9.6,121,13183,361.2,3.8,26,7.5,2019
Greece,82,0.5,18,50,130,11196,16,66,2098,99.9,8.3,27.8,5.9,2019
Iceland,4,0.5,18,50,90,29570,10.2,126,41,213.6,2,37.7,1,2019
Ireland,16,0.5,17,50,120,22994,8.4,190,995,118.1,3.1,40.7,2.4,2019
Italy,36,0.5,18,50,130,19452,11.4,96,6966,288.3,5.3,17.4,12.1,2019
Luxembourg,14,0.5,18,50,130,34127,6.5,254,165,159.2,4.1,41,8.9,2019
Netherlands,5,0.5,18,50,130,24431,11,128,2790,109.8,4,34.8,8.3,2019
Norway,3,0.2,18,50,100,29008,10.7,145,1008,66.9,2.1,37.7,1.4,2019
Poland,40,0.2,18,60,140,13960,14.1,73,1676,79.8,9.4,28.2,1.6,2019
Portugal,66,0.5,18,50,120,13642,12.8,79,3065,362.1,8.2,23.8,20.7,2019
Romania,48,0,18,50,130,8423,16.5,69,866,160.8,10.3,16,2.9,2019
Spain,30,0.5,18,50,120,18618,12.7,91,15585,220.8,3.9,35.1,13,2019
Sweden,7,0.2,18,50,110,21996,10,119,2133,133.1,3.1,37.8,1.8,2019
Switzerland,6,0.5,18,50,120,31073,8.6,156,1462,207.1,2.2,38.6,11.1,2019
Austria,12,0.5,18,50,130,25627,8.2,128,1749,416.8,4.8,30.1,5.814,2018
Belgium,16,0.5,18,50,120,22614,8.9,118,1763,366.2,5.4,36,9.894,2018
Denmark,3,0.5,18,50,130,24274,8.4,129,1329,51.2,3.2,32.6,9.792,2018
Finland,1,0.2,18,50,120,22371,11.8,111,926,78.2,4.5,37.3,2.479,2018
France,23,0.5,18,50,130,23159,8.8,104,11671,161.7,5.2,32.8,10.098,2018
Germany,15,0.5,18,50,130,25037,9.3,124,13141,372.4,4.1,25.2,7.65,2018
Greece,79,0.5,18,50,130,10639,15,66,2098,100.0,8.3,27.7,6.018,2018
Iceland,4,0.5,18,50,90,25945,10,128,41,246.1,7,36.5,1.02,2018
Ireland,14,0.5,17,50,120,22359,8.8,190,916,125.4,3,40.5,2.448,2018
Italy,47,0.5,18,50,130,19061,10.8,97,6943,286.9,5.6,17.1,12.342,2018
Luxembourg,17,0.5,18,50,130,32015,6.3,262,165,155.8,6.7,38.3,9.078,2018
Netherlands,6,0.5,18,50,130,24088,10.4,129,2756,111.8,4.1,33,8.466,2018
Norway,2,0.2,18,50,100,28138,10.6,156,599,73.3,2.1,37.5,1.428,2018
Poland,42,0.2,18,60,140,12926,13.6,71,1637,83.4,9.2,27.2,1.632,2018
Portugal,77,0.5,18,50,120,12785,12.5,78,3065,348.3,9,22.5,21.114,2018
Romania,52,0,18,50,130,7311,16.2,66,823,155.1,10.2,15.5,2.958,2018
Spain,36,0.5,18,50,120,18365,11.9,91,15585,218.6,4.1,34,13.26,2018
Sweden,9,0.2,18,50,110,22167,9.9,120,2132,139.9,3.6,37.1,1.836,2018
Switzerland,5,0.5,18,50,120,30980,8.6,160,1462,211.8,2.8,37.7,11.322,2018
Austria,13,0.5,18,50,130,26076,8.9,127,1743,425.1,4.9,29.7,5.951,2017
Belgium,17,0.5,18,50,120,22436,7.7,118,1763,356.9,5.5,35.6,10.127,2017
Denmark,2,0.5,18,50,130,23387,8.5,130,1308,48.4,3.3,32.2,10.022,2017
Finland,5,0.2,18,50,120,22061,12.7,111,893,80.5,4.4,36.4,2.537,2017
France,31,0.5,18,50,130,23461,9,104,11618,87.6,5.5,31.4,10.336,2017
