GEO,UNIT,MOT_NRG,ENGINE\TIME	1970	1975	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Belgium,Number,Total,Total	295,701	357,897	423,668	401,611	352,613	346,303	341,243	354,051	361,948	397,156	408,879	430,520	443,963	478,219	46,766	485,697	392,530	403,981	370,165	408,285	:	463,724	504,203	531,640	499,779	472,830	463,173	489,346	484,915	530,941	529,606	540,542	479,920	551,661	577,382	490,711	490,369	487,711	506,284	546,142	553,692	557,487	557,970	439,038
Bulgaria,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	46,433	31,093	44,186	83,713	76,529	56,702	69,500	28,166	70,797	103,459	98,185	117,333	121,512	143,480	150,803	168,102	182,095	348,887	351,433	201,304	186,092	191,430	196,614	15,114	16,626	17,271	20,386	25,995	28,584	32,885	20,429
Czechia,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	144,849	123,579	125,166	120,370	129,443	141,954	160,614	168,372	172,787	174,311	164,627	192,923	229,731	257,854	269,622	259,525	247,567	198,400
Denmark,Number,Total,Total	108,634	115,733	127,114	73,961	71,778	85,512	116,346	134,478	157,632	169,492	124,324	88,770	78,453	80,837	83,828	84,170	82,205	139,251	135,058	142,175	152,869	162,708	144,259	113,631	96,114	111,598	:	:	:	131,605	252,183	184,323	:	:	:	:	180,643	188,409	206,652	222,474	221,476	218,478	225,634	198,979
Germany (until 1990 former territory of the FRG),Number,Total,Total	2,107,123	2,106,048	2,623,400	2,426,187	2,330,335	2,155,537	2,426,774	2,393,939	2,379,261	2,829,438	2,915,654	2,807,939	2,831,740	3,040,783	:	3,929,558	3,194,204	3,209,224	3,314,061	3,496,320	3,528,179	3,735,987	3,802,176	3,378,343	3,341,718	3,252,898	3,236,938	3,266,826	3,342,122	3,467,961	3,148,163	3,090,040	3,807,175	2,916,260	3,173,634	3,082,504	2,952,431	3,036,773	3,206,042	3,285,904	3,441,262	3,435,778	3,607,258	2,917,678
Estonia,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	36,284	53,168	51,217	44,471	35,621	9,448	8,400	6,864	10,240	12,822	14,701	15,824	16,514	:	25,372	30,916	24,590	9,948	10,294	17,058	19,422	19,690	21,128	21,064	23,020	25,621	26,299	27,579	19,295
Ireland,Number,Total,Total	52,947	:	:	91,728	:	:	:	:	59,592	:	:	:	:	83,420	68,533	67,861	60,792	77,773	82,730	109,333	125,818	138,538	170,322	225,269	160,908	150,485	142,992	149,635	166,270	173,273	193,915	158,350	59,358	105,343	104,022	77,506	74,960	84,136	129,959	149,763	133,579	128,549	126,104	92,393
Greece,Number,Total,Total	32,354	60,135	87,169	41,841	54,879	91,929	75,222	85,945	109,435	96,181	74,180	76,043	102,314	132,487	176,862	206,652	155,646	118,088	133,757	141,589	166,778	183,657	268,716	302,620	289,943	277,567	272,515	317,508	302,613	304,700	317,879	295,853	244,539	153,847	107,737	64,301	58,659	70,810	75,497	78,790	88,001	103,322	114,007	79,597
Spain,Number,Total,Total	572,346	573,247	620,652	574,149	505,716	535,733	550,436	522,229	575,052	689,051	928,264	1,069,220	1,149,373	1,007,014	914,061	1,008,454	775,461	938,971	870,497	968,363	1,091,190	1,282,970	1,502,531	1,467,160	1,498,899	1,408,426	:	:	:	1,660,627	1,633,806	1,188,485	971,177	1,000,010	817,688	710,638	742,305	890,125	1,094,117	1,230,104	1,342,011	1,424,758	1,375,381	939,096
France,Number,Total,Total	1,296,240	1,482,310	1,976,391	1,873,202	1,834,646	2,056,490	2,017,617	1,757,673	1,766,328	1,911,521	2,105,180	2,217,149	2,274,307	2,309,130	2,031,274	2,105,700	1,721,222	1,972,919	1,930,504	2,132,091	1,713,030	1,943,553	2,148,423	2,133,884	2,254,732	2,145,071	2,009,246	2,013,709	:	2,000,549	2,064,543	2,050,283	2,269,011	2,210,186	2,160,928	1,857,013	1,756,953	1,765,855	1,886,229	1,984,471	2,079,515	2,138,600	2,172,967	1,631,045
