DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2000,589000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2001,565000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2002,535000,b
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2003,539000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2004,570000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2005,576000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2006,867000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2007,844000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2008,829000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2009,856000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2010,876000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2011,915000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2012,922000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2013,915101,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2014,865374,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2015,831980,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2016,843016,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2017,889536,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2018,929032,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2019,926782,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,AT,2020,846727,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2000,788000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2001,760000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2002,726000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2003,690000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2004,705000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2005,1118000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2006,1191000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2007,1227000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2008,1295000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2009,1264000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2010,1277000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2011,1288000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2012,1318000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2013,1264756,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2014,1181237,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2015,1176005,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2016,1213228,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2017,1281707,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2018,1354224,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2019,1348807,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,BE,2020,1271414,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2000,613000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2001,609000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2002,599000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2003,561000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2004,533000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2005,510000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2006,509000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2007,537000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2008,554000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2009,552000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2010,552000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2011,605000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2012,662000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2013,877300,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2014,593000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2015,629000,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2016,616400,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2017,604700,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2018,618700,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2019,574900,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,CH,2020,752400,e
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2000,7166000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2001,6705000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2002,6597000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2003,6490253,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2004,6492000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2005,6600000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2006,6804000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2007,,c
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2008,5551000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2009,6425000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2010,6247000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2011,5584000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2012,5751000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2013,5560000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2014,5506000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2015,5747000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y_LT2,DE,2016,6037872,
