year;Germany;Austria;Belgium;Denmark;Spain;Finland;France;Greece;Ireland;Italy;Luxembourg;Netherlands;Poland;Portugal;Romania;Sweden;Iceland;Norway;Switzerland
2009; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 70; 60; 50; 50; 50; 50; 70; 50
2010; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 70; 60; 50; 50; 50; 50; 70; 50
2011; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 70; 60; 50; 50; 50; 50; 70; 50
2012; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 70; 60; 50; 50; 50; 50; 70; 50
2013; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2014; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2015; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2016; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2017; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2018; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2019; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2020; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
2021; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 50; 60; 50; 50; 50; 50; 50; 50
